use_dt,bus_route_id,bus_route_no,bus_route_nm,stnd_bsst_id,bsst_ars_no,bus_sta_id,bus_sta_nm,ride_pasgr_num,alight_pasgr_num,work_dt,work_dttm
"20190901","41110150","N26","N26번(중랑공영차고지~강서공영차고지)","106000207","07302","0070868","신내교회.신내데시앙아파트","0","2","20190904",""
"20190901","11110614","마포07","마포07(양화진성지~아현역)","113900208","14966","9011047","서일빌딩","2","32","20190904",""
"20190901","91000034","9714","9714번(교하운정~서울역)","111000008","12008","9606470","디지털미디어시티역","23","0","20190904",""
"20190901","11110063","641","641번(문래동~양재동)","118000107","19192","0010617","문래역","399","126","20190904",""
"20190901","91000034","9714","9714번(교하운정~서울역)","229001662","63736","9514031","교하차고지","1","0","20190904",""
"20190901","11110063","641","641번(문래동~양재동)","121900001","22256","7000016","방배동래미안타워","55","88","20190904",""
"20190901","91000034","9714","9714번(교하운정~서울역)","229001663","63737","9514030","교하차고지","0","4","20190904",""
"20190901","11110065","650","650번(외발산동~서울대입구)","118000140","19225","9001569","신길역","130","75","20190904",""
"20190901","91000034","9714","9714번(교하운정~서울역)","219000370","36686","9036576","마두역(중)","8","6","20190904",""
"20190901","11110072","110B","110번(B,국민대방향,정릉~정릉)","113000135","14226","0013322","연남동","219","400","20190904",""
"20190901","91000034","9714","9714번(교하운정~서울역)","229000857","63660","9036539","중앙공원","0","4","20190904",""
"20190901","11110072","110B","110번(B,국민대방향,정릉~정릉)","113000083","14174","9003183","대흥역","50","93","20190904",""
"20190901","91000034","9714","9714번(교하운정~서울역)","229000848","63659","9036538","중앙공원","9","0","20190904",""
"20190901","11110085","643","643번(양천차고지~강남역)","121000149","22225","0008824","이수교","226","137","20190904",""
"20190901","91000034","9714","9714번(교하운정~서울역)","229000856","63658","9036537","우리은행앞","0","34","20190904",""
"20190901","11110144","1137","1137번(상계동~미아사거리)","110000346","11447","0011119","하계역","161","90","20190904",""
"20190901","91000034","9714","9714번(교하운정~서울역)","229000849","63657","9036536","트리플메디컬타운","44","0","20190904",""
"20190901","11110196","2413","2413번(성수동~개포동)","122000131","23234","0010979","은마파출소","217","109","20190904",""
"20190901","91000034","9714","9714번(교하운정~서울역)","229000854","63656","9036535","청석마을8단지","0","15","20190904",""
"20190901","11110207","3313","3313번(복정역~잠실새내역)","123000160","24250","8001682","오금공원앞","72","37","20190904",""
"20190901","91000034","9714","9714번(교하운정~서울역)","229000851","63655","9036534","청석마을","16","0","20190904",""
"20190901","11110241","5516","5516번(신림2동차고지~노량진)","119000054","20147","0009751","성대시장","199","159","20190904",""
